EventDateTime,epoch,value
2023-09-14 16:04:19,1694707459,6.60
2023-09-14 16:04:29,1694707469,40.00
2023-09-14 16:04:39,1694707479,0.20
2023-09-14 16:04:49,1694707489,0.40
2023-09-14 16:04:59,1694707499,2.00
2023-09-14 16:05:09,1694707509,0.00
2023-09-14 16:05:19,1694707519,0.20
2023-09-14 16:05:29,1694707529,717.00
2023-09-14 16:05:39,1694707539,2.40
2023-09-14 16:05:49,1694707549,0.20
2023-09-14 16:05:59,1694707559,261.40
2023-09-14 16:06:09,1694707569,65.00
2023-09-14 16:06:19,1694707579,67.20
2023-09-14 16:06:29,1694707589,64.60
2023-09-14 16:06:39,1694707599,260.80
2023-09-14 16:06:49,1694707609,0.40
2023-09-14 16:06:59,1694707619,1.20
2023-09-14 16:07:09,1694707629,0.20
2023-09-14 16:07:19,1694707639,583.20
2023-09-14 16:07:29,1694707649,65.60
2023-09-14 16:07:39,1694707659,2.80
2023-09-14 16:07:49,1694707669,66.00
2023-09-14 16:07:59,1694707679,260.40
2023-09-14 16:08:09,1694707689,0.20
2023-09-14 16:08:19,1694707699,197.60
2023-09-14 16:08:29,1694707709,0.20
2023-09-14 16:08:39,1694707719,195.60
2023-09-14 16:08:49,1694707729,65.00
2023-09-14 16:08:59,1694707739,66.20
2023-09-14 16:09:09,1694707749,64.80
2023-09-14 16:09:19,1694707759,454.20
2023-09-14 16:09:29,1694707769,193.80
2023-09-14 16:09:39,1694707779,2.40
2023-09-14 16:09:49,1694707789,0.40
2023-09-14 16:09:59,1694707799,0.00
2023-09-14 16:10:09,1694707809,0.20
2023-09-14 16:10:19,1694707819,132.40
2023-09-14 16:10:29,1694707829,0.40
2023-09-14 16:10:39,1694707839,64.80
2023-09-14 16:10:49,1694707849,0.20
2023-09-14 16:10:59,1694707859,1.60
2023-09-14 16:11:09,1694707869,65.00
2023-09-14 16:11:19,1694707879,647.60
2023-09-14 16:11:29,1694707889,130.00
2023-09-14 16:11:39,1694707899,67.00
2023-09-14 16:11:49,1694707909,0.00
2023-09-14 16:11:59,1694707919,129.60
2023-09-14 16:12:09,1694707929,0.60
2023-09-14 16:12:19,1694707939,522.40
2023-09-14 16:12:29,1694707949,0.00
2023-09-14 16:12:39,1694707959,65.00
2023-09-14 16:12:49,1694707969,0.20
2023-09-14 16:12:59,1694707979,1.20
2023-09-14 16:13:09,1694707989,65.40
2023-09-14 16:13:19,1694707999,906.45
2023-09-14 16:13:29,1694708009,66.20
2023-09-14 16:13:39,1694708019,3.00
2023-09-14 16:13:49,1694708029,65.00
2023-09-14 16:13:59,1694708039,129.20
2023-09-14 16:14:09,1694708049,64.80
2023-09-14 16:14:19,1694708059,586.00
2023-09-14 16:14:29,1694708069,65.60
2023-09-14 16:14:39,1694708079,195.60
2023-09-14 16:14:49,1694708089,0.00
2023-09-14 16:14:59,1694708099,1.40
2023-09-14 16:15:09,1694708109,0.00
2023-09-14 16:15:19,1694708119,1165.40
2023-09-14 16:15:29,1694708129,0.00
2023-09-14 16:15:39,1694708139,1.60
2023-09-14 16:15:49,1694708149,0.20
2023-09-14 16:15:59,1694708159,129.40
2023-09-14 16:16:09,1694708169,0.20
2023-09-14 16:16:19,1694708179,455.60
2023-09-14 16:16:29,1694708189,0.20
2023-09-14 16:16:39,1694708199,195.00
2023-09-14 16:16:49,1694708209,64.60
2023-09-14 16:16:59,1694708219,64.80
2023-09-14 16:17:09,1694708229,0.00
2023-09-14 16:17:19,1694708239,1555.00
2023-09-14 16:17:29,1694708249,0.00
2023-09-14 16:17:39,1694708259,3.20
2023-09-14 16:17:49,1694708269,65.80
2023-09-14 16:17:59,1694708279,195.00
2023-09-14 16:18:09,1694708289,65.20
2023-09-14 16:18:19,1694708299,778.60
2023-09-14 16:18:29,1694708309,0.00
2023-09-14 16:18:39,1694708319,64.80
2023-09-14 16:18:49,1694708329,0.20
2023-09-14 16:18:59,1694708339,65.80
2023-09-14 16:19:09,1694708349,0.20
2023-09-14 16:19:19,1694708359,1491.00
2023-09-14 16:19:29,1694708369,0.20
2023-09-14 16:19:39,1694708379,2.40
2023-09-14 16:19:49,1694708389,0.20
2023-09-14 16:19:59,1694708399,259.40
2023-09-14 16:20:09,1694708409,65.00
2023-09-14 16:20:19,1694708419,906.00
2023-09-14 16:20:29,1694708429,0.20
