EventDateTime,epoch,value
2023-09-14 18:53:58,1694717638,4.76
2023-09-14 18:54:08,1694717648,50.80
2023-09-14 18:54:18,1694717658,24.20
2023-09-14 18:54:28,1694717668,21.00
2023-09-14 18:54:38,1694717678,32.28
2023-09-14 18:54:48,1694717688,16.32
2023-09-14 18:54:58,1694717698,14.24
2023-09-14 18:55:08,1694717708,14.80
2023-09-14 18:55:18,1694717718,20.04
2023-09-14 18:55:28,1694717728,7.52
2023-09-14 18:55:38,1694717738,10.60
2023-09-14 18:55:48,1694717748,8.44
2023-09-14 18:55:58,1694717758,21.12
2023-09-14 18:56:08,1694717768,7.28
2023-09-14 18:56:18,1694717778,7.00
2023-09-14 18:56:28,1694717788,8.80
2023-09-14 18:56:38,1694717798,14.04
2023-09-14 18:56:48,1694717808,8.96
2023-09-14 18:56:58,1694717818,7.64
2023-09-14 18:57:08,1694717828,7.32
2023-09-14 18:57:18,1694717838,12.12
2023-09-14 18:57:28,1694717848,7.12
2023-09-14 18:57:38,1694717858,6.12
2023-09-14 18:57:48,1694717868,8.68
2023-09-14 18:57:58,1694717878,10.04
2023-09-14 18:58:08,1694717888,7.68
2023-09-14 18:58:18,1694717898,4.68
2023-09-14 18:58:28,1694717908,6.32
2023-09-14 18:58:38,1694717918,12.52
2023-09-14 18:58:48,1694717928,6.56
2023-09-14 18:58:58,1694717938,4.80
2023-09-14 18:59:08,1694717948,4.24
2023-09-14 18:59:18,1694717958,9.92
2023-09-14 18:59:28,1694717968,4.80
2023-09-14 18:59:38,1694717978,7.20
2023-09-14 18:59:48,1694717988,4.96
2023-09-14 18:59:58,1694717998,11.20
2023-09-14 19:00:08,1694718008,7.24
