EventDateTime,epoch,value
2023-09-14 22:01:16,1694728876,3.50
2023-09-14 22:01:26,1694728886,66.93
2023-09-14 22:01:36,1694728896,34.33
2023-09-14 22:01:46,1694728906,23.82
2023-09-14 22:01:56,1694728916,22.38
2023-09-14 22:02:06,1694728926,18.67
2023-09-14 22:02:16,1694728936,19.25
2023-09-14 22:02:26,1694728946,13.93
2023-09-14 22:02:36,1694728956,15.58
2023-09-14 22:02:46,1694728966,13.60
2023-09-14 22:02:56,1694728976,10.29
2023-09-14 22:03:06,1694728986,9.31
2023-09-14 22:03:16,1694728996,11.33
2023-09-14 22:03:26,1694729006,10.67
2023-09-14 22:03:36,1694729016,5.98
2023-09-14 22:03:46,1694729026,6.89
2023-09-14 22:03:56,1694729036,12.67
2023-09-14 22:04:06,1694729046,9.31
2023-09-14 22:04:16,1694729056,8.18
2023-09-14 22:04:26,1694729066,6.93
2023-09-14 22:04:36,1694729076,8.98
2023-09-14 22:04:46,1694729086,6.62
2023-09-14 22:04:56,1694729096,6.13
2023-09-14 22:05:06,1694729106,5.38
2023-09-14 22:05:16,1694729116,7.11
2023-09-14 22:05:26,1694729126,6.13
2023-09-14 22:05:36,1694729136,7.93
2023-09-14 22:05:46,1694729146,5.60
2023-09-14 22:05:56,1694729156,6.31
2023-09-14 22:06:06,1694729166,5.00
2023-09-14 22:06:16,1694729176,6.07
2023-09-14 22:06:26,1694729186,5.02
2023-09-14 22:06:36,1694729196,7.56
2023-09-14 22:06:46,1694729206,5.51
2023-09-14 22:06:56,1694729216,5.78
2023-09-14 22:07:06,1694729226,3.96
2023-09-14 22:07:16,1694729236,5.49
2023-09-14 22:07:26,1694729246,4.20
2023-09-14 22:07:36,1694729256,4.69
2023-09-14 22:07:46,1694729266,4.33
2023-09-14 22:07:56,1694729276,5.24
2023-09-14 22:08:06,1694729286,4.71
2023-09-14 22:08:16,1694729296,3.87
2023-09-14 22:08:26,1694729306,3.91
