EventDateTime,epoch,value
2023-09-14 18:00:07,1694714407,0.00
2023-09-14 18:00:17,1694714417,245.77
2023-09-14 18:00:27,1694714427,427.60
2023-09-14 18:00:37,1694714437,425.00
2023-09-14 18:00:47,1694714447,524.60
2023-09-14 18:00:57,1694714457,428.40
2023-09-14 18:01:07,1694714467,427.60
2023-09-14 18:01:17,1694714477,426.60
2023-09-14 18:01:27,1694714487,524.40
2023-09-14 18:01:37,1694714497,426.00
2023-09-14 18:01:47,1694714507,426.60
2023-09-14 18:01:57,1694714517,425.60
2023-09-14 18:02:07,1694714527,528.60
2023-09-14 18:02:17,1694714537,426.40
2023-09-14 18:02:27,1694714547,429.00
2023-09-14 18:02:37,1694714557,425.60
2023-09-14 18:02:47,1694714567,525.20
2023-09-14 18:02:57,1694714577,428.20
2023-09-14 18:03:07,1694714587,423.40
2023-09-14 18:03:17,1694714597,425.40
2023-09-14 18:03:27,1694714607,523.40
2023-09-14 18:03:37,1694714617,428.00
2023-09-14 18:03:47,1694714627,423.60
2023-09-14 18:03:57,1694714637,426.20
2023-09-14 18:04:07,1694714647,525.20
2023-09-14 18:04:17,1694714657,425.60
2023-09-14 18:04:27,1694714667,428.80
2023-09-14 18:04:37,1694714677,423.80
2023-09-14 18:04:47,1694714687,528.20
2023-09-14 18:04:57,1694714697,422.20
2023-09-14 18:05:07,1694714707,426.20
2023-09-14 18:05:17,1694714717,427.60
2023-09-14 18:05:27,1694714727,530.00
2023-09-14 18:05:37,1694714737,427.00
2023-09-14 18:05:47,1694714747,423.00
2023-09-14 18:05:57,1694714757,426.40
2023-09-14 18:06:07,1694714767,527.60
2023-09-14 18:06:17,1694714777,424.60
2023-09-14 18:06:27,1694714787,429.80
2023-09-14 18:06:37,1694714797,428.80
2023-09-14 18:06:47,1694714807,523.40
2023-09-14 18:06:57,1694714817,425.00
2023-09-14 18:07:07,1694714827,425.00
2023-09-14 18:07:17,1694714837,428.00
2023-09-14 18:07:27,1694714847,501.60
2023-09-14 18:07:37,1694714857,424.40
2023-09-14 18:07:47,1694714867,425.60
2023-09-14 18:07:57,1694714877,427.00
