EventDateTime,epoch,value
2023-09-14 14:51:13,1694703073,0.00
2023-09-14 14:51:18,1694703078,1619.00
2023-09-14 14:51:23,1694703083,1192.00
2023-09-14 14:51:28,1694703088,1090.00
2023-09-14 14:51:33,1694703093,1041.00
2023-09-14 14:51:38,1694703098,1014.00
2023-09-14 14:51:43,1694703103,1009.00
2023-09-14 14:51:48,1694703108,1026.00
2023-09-14 14:51:53,1694703113,1031.00
2023-09-14 14:51:58,1694703118,1018.00
2023-09-14 14:52:03,1694703123,1007.00
2023-09-14 14:52:08,1694703128,999.00
2023-09-14 14:52:13,1694703133,992.00
2023-09-14 14:52:18,1694703138,987.00
2023-09-14 14:52:23,1694703143,984.00
2023-09-14 14:52:28,1694703148,986.00
2023-09-14 14:52:33,1694703153,986.00
2023-09-14 14:52:38,1694703158,982.00
2023-09-14 14:52:43,1694703163,979.00
2023-09-14 14:52:48,1694703168,976.00
2023-09-14 14:52:53,1694703173,973.00
2023-09-14 14:52:58,1694703178,971.00
2023-09-14 14:53:03,1694703183,969.00
2023-09-14 14:53:08,1694703188,968.00
2023-09-14 14:53:13,1694703193,967.00
2023-09-14 14:53:18,1694703198,965.00
2023-09-14 14:53:23,1694703203,964.00
2023-09-14 14:53:28,1694703208,963.00
2023-09-14 14:53:33,1694703213,961.00
2023-09-14 14:53:38,1694703218,959.00
2023-09-14 14:53:43,1694703223,958.00
2023-09-14 14:53:48,1694703228,957.00
2023-09-14 14:53:53,1694703233,956.00
2023-09-14 14:53:58,1694703238,954.00
2023-09-14 14:54:03,1694703243,953.00
2023-09-14 14:54:08,1694703248,952.00
2023-09-14 14:54:13,1694703253,951.00
2023-09-14 14:54:18,1694703258,950.00
2023-09-14 14:54:23,1694703263,949.00
2023-09-14 14:54:28,1694703268,948.00
2023-09-14 14:54:33,1694703273,947.00
2023-09-14 14:54:38,1694703278,947.00
2023-09-14 14:54:43,1694703283,946.00
