EventDateTime,epoch,value
2023-09-13 19:17:53,1694632673,207.20
2023-09-13 19:18:03,1694632683,185.20
2023-09-13 19:18:13,1694632693,177.60
2023-09-13 19:18:23,1694632703,173.60
2023-09-13 19:18:33,1694632713,171.40
2023-09-13 19:18:43,1694632723,169.80
2023-09-13 19:18:53,1694632733,168.60
2023-09-13 19:19:03,1694632743,168.00
2023-09-13 19:19:13,1694632753,167.40
2023-09-13 19:19:23,1694632763,166.60
2023-09-13 19:19:33,1694632773,0.00
2023-09-13 19:19:43,1694632783,0.00
2023-09-13 19:19:53,1694632793,165.60
2023-09-13 19:20:03,1694632803,0.00
2023-09-13 19:20:13,1694632813,165.00
2023-09-13 19:20:23,1694632823,0.00
2023-09-13 19:20:33,1694632833,0.00
2023-09-13 19:20:43,1694632843,0.00
2023-09-13 19:20:53,1694632853,0.00
2023-09-13 19:21:03,1694632863,164.20
2023-09-13 19:21:13,1694632873,0.00
2023-09-13 19:21:23,1694632883,164.00
2023-09-13 19:21:33,1694632893,0.00
2023-09-13 19:21:43,1694632903,163.80
2023-09-13 19:21:53,1694632913,163.60
2023-09-13 19:22:03,1694632923,0.00
2023-09-13 19:22:13,1694632933,0.00
2023-09-13 19:22:23,1694632943,0.00
2023-09-13 19:22:33,1694632953,0.00
2023-09-13 19:22:43,1694632963,0.00
2023-09-13 19:22:53,1694632973,0.00
2023-09-13 19:23:03,1694632983,0.00
2023-09-13 19:23:13,1694632993,0.00
2023-09-13 19:23:23,1694633003,163.00
2023-09-13 19:23:33,1694633013,0.00
2023-09-13 19:23:43,1694633023,0.00
2023-09-13 19:23:53,1694633033,0.00
2023-09-13 19:24:03,1694633043,0.00
2023-09-13 19:24:13,1694633053,0.00
2023-09-13 19:24:23,1694633063,0.00
2023-09-13 19:24:33,1694633073,0.00
2023-09-13 19:24:43,1694633083,0.00
2023-09-13 19:24:53,1694633093,0.00
2023-09-13 19:25:03,1694633103,0.00
2023-09-13 19:25:13,1694633113,0.00
2023-09-13 19:25:23,1694633123,0.00
2023-09-13 19:25:33,1694633133,0.00
2023-09-13 19:25:43,1694633143,0.00
2023-09-13 19:25:53,1694633153,0.00
2023-09-13 19:26:03,1694633163,0.00
2023-09-13 19:26:13,1694633173,0.00
2023-09-13 19:26:23,1694633183,162.40
2023-09-13 19:26:33,1694633193,0.00
2023-09-13 19:26:43,1694633203,0.00
2023-09-13 19:26:53,1694633213,0.00
2023-09-13 19:27:03,1694633223,0.00
2023-09-13 19:27:13,1694633233,0.00
2023-09-13 19:27:23,1694633243,0.00
2023-09-13 19:27:33,1694633253,0.00
2023-09-13 19:27:43,1694633263,0.00
2023-09-13 19:27:53,1694633273,0.00
2023-09-13 19:28:03,1694633283,0.00
2023-09-13 19:28:13,1694633293,0.00
2023-09-13 19:28:23,1694633303,0.00
2023-09-13 19:28:33,1694633313,0.00
2023-09-13 19:28:43,1694633323,0.00
2023-09-13 19:28:53,1694633333,0.00
2023-09-13 19:29:03,1694633343,0.00
2023-09-13 19:29:13,1694633353,0.00
2023-09-13 19:29:23,1694633363,0.00
2023-09-13 19:29:33,1694633373,0.20
2023-09-13 19:29:43,1694633383,0.00
2023-09-13 19:29:53,1694633393,0.00
2023-09-13 19:30:03,1694633403,0.00
2023-09-13 19:30:13,1694633413,0.00
2023-09-13 19:30:23,1694633423,0.00
2023-09-13 19:30:33,1694633433,0.00
2023-09-13 19:30:43,1694633443,0.00
2023-09-13 19:30:53,1694633453,0.00
2023-09-13 19:31:03,1694633463,0.00
2023-09-13 19:31:13,1694633473,0.00
2023-09-13 19:31:23,1694633483,0.00
2023-09-13 19:31:33,1694633493,0.00
2023-09-13 19:31:43,1694633503,0.00
