EventDateTime,epoch,value
2023-09-14 15:11:44,1694704304,38.78
2023-09-14 15:11:54,1694704314,48.20
2023-09-14 15:12:04,1694704324,51.20
2023-09-14 15:12:14,1694704334,50.60
2023-09-14 15:12:24,1694704344,49.40
2023-09-14 15:12:34,1694704354,50.60
2023-09-14 15:12:44,1694704364,50.80
2023-09-14 15:12:54,1694704374,50.60
2023-09-14 15:13:04,1694704384,50.20
2023-09-14 15:13:14,1694704394,49.80
2023-09-14 15:13:24,1694704404,49.80
2023-09-14 15:13:34,1694704414,49.80
2023-09-14 15:13:44,1694704424,51.80
2023-09-14 15:13:54,1694704434,51.20
2023-09-14 15:14:04,1694704444,50.20
2023-09-14 15:14:14,1694704454,52.00
2023-09-14 15:14:24,1694704464,51.00
2023-09-14 15:14:34,1694704474,51.20
2023-09-14 15:14:44,1694704484,51.60
2023-09-14 15:14:54,1694704494,50.40
2023-09-14 15:15:04,1694704504,50.80
2023-09-14 15:15:14,1694704514,50.40
2023-09-14 15:15:24,1694704524,51.80
2023-09-14 15:15:34,1694704534,51.00
2023-09-14 15:15:44,1694704544,50.80
2023-09-14 15:15:54,1694704554,52.40
2023-09-14 15:16:04,1694704564,50.80
2023-09-14 15:16:14,1694704574,52.20
2023-09-14 15:16:24,1694704584,51.80
2023-09-14 15:16:34,1694704594,51.20
2023-09-14 15:16:44,1694704604,51.60
2023-09-14 15:16:54,1694704614,51.00
2023-09-14 15:17:04,1694704624,51.20
2023-09-14 15:17:14,1694704634,51.00
2023-09-14 15:17:24,1694704644,51.20
2023-09-14 15:17:34,1694704654,51.20
2023-09-14 15:17:44,1694704664,50.40
2023-09-14 15:17:54,1694704674,51.00
2023-09-14 15:18:04,1694704684,50.60
2023-09-14 15:18:14,1694704694,50.54
2023-09-14 15:18:24,1694704704,49.60
2023-09-14 15:18:34,1694704714,50.20
2023-09-14 15:18:44,1694704724,51.20
2023-09-14 15:18:54,1694704734,50.40
2023-09-14 15:19:04,1694704744,51.00
2023-09-14 15:19:14,1694704754,50.20
2023-09-14 15:19:24,1694704764,50.71
2023-09-14 15:19:34,1694704774,49.80
2023-09-14 15:19:44,1694704784,50.00
2023-09-14 15:19:54,1694704794,51.00
2023-09-14 15:20:04,1694704804,52.40
2023-09-14 15:20:14,1694704814,51.40
2023-09-14 15:20:24,1694704824,50.20
2023-09-14 15:20:34,1694704834,51.00
2023-09-14 15:20:44,1694704844,49.80
2023-09-14 15:20:54,1694704854,50.60
2023-09-14 15:21:04,1694704864,50.80
2023-09-14 15:21:14,1694704874,50.00
2023-09-14 15:21:24,1694704884,50.00
2023-09-14 15:21:34,1694704894,51.80
2023-09-14 15:21:44,1694704904,50.60
2023-09-14 15:21:54,1694704914,49.60
2023-09-14 15:22:04,1694704924,51.00
2023-09-14 15:22:14,1694704934,52.40
2023-09-14 15:22:24,1694704944,51.00
2023-09-14 15:22:34,1694704954,51.00
2023-09-14 15:22:44,1694704964,50.60
2023-09-14 15:22:54,1694704974,51.40
2023-09-14 15:23:04,1694704984,50.00
2023-09-14 15:23:14,1694704994,50.00
